R36;100k;R_0603;
R37;2k7;R_0603;
R38;100k;R_0603;
R39;10k;R_0603;
R40;100k;R_0603;
R41;10k;R_0603;
R42;0R;R_0603;
R43;0R;R_0603;
R44;0R1;R_1206;
R45;0R1;R_1206;
R46;0R1;R_1206;
R47;0R1;R_1206;
R48;6k8;R_0603;
R49;100k;R_0603;
R50;4k7;R_0603;
R51;4k7;R_0603;
R52;100k;R_0603;
R53;100k;R_0603;
R54;2k7;R_0603;
R55;4k7;R_0603;
R56;100R;R_0603;
R57;100R;R_0603;
R58;100R;R_0603;
R59;100R;R_0603;
R60;4K7;R_0603;
R61;470R;R_0603;
R62;10K;R_0603;
R63;10K;R_0603;
R64;10K;R_0603;
R65;4k7;R_0603;
R66;10k;R_0603;
R67;4k7;R_0603;
R68;4k7;R_0603;
R69;680R;R_0603;
R70;680R;R_0603;
R71;680R;R_0603;
R72;680R;R_0603;
R73;47K;R_0603;
R74;47K;R_0603;
R75;47K;R_0603;
R76;47K;R_0603;
R77;100k;R_0603;
R78;100k;R_0603;
R79;100k;R_0603;
R80;10K;R_0603;
R81;10K;R_0603;
R83;0R;R_0603;
R84;470R;D_0603;
SJ1;MS2;SJ;
SJ2;MS1;SJ;
SJ3;MS2;SJ;
SJ4;MS1;SJ;
SJ5;MS2;SJ;
SJ6;MS1;SJ;
SJ7;MS2;SJ;
SJ8;MS1;SJ;
TR1;BSH105;SOT-23;
TR2;IPD036N04L;D-PAK;
TR3;BSH105;SOT-23;
TR4;IPD036N04L;D-PAK;
TR5;BSH105;SOT-23;
TR6;IPD036N04L;D-PAK;
TR7;BSH105;SOT-23;
U1;ATSAM3X8E;LQFP144;
U2;TC2117-3.3VDBTR;SOT-223;
U3;LM2596;TO-263-5;
U4;KSZ8051RNL;QFN32-5x5;
U5;A4982SLPTR;TSSOP-24;
U6;A4982SLPTR;TSSOP-24;
U7;A4982SLPTR;TSSOP-24;
U8;A4982SLPTR;TSSOP-24;
U9;MCP44X1;TSSOP-20;
U10;SP2525A-1;SOIC-8;
X1;CRYSTAL_4PIN;Xtal_5x3.2;
X2;CRYSTAL_4PIN;Xtal_5x3.2;
